"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"131",156,83,128,39,61,52,56,72,74,47,43,33,40,38,30,47,27,14,15,29,16,40,25,12,20,12,30,21,39,28
"132",164,113,141,58,68,54,65,98,69,44,29,28,34,50,32,22,25,21,40,36,12,34,26,12,28,9,37,26,27,19
"133",173,108,153,59,71,57,59,73,72,32,43,39,41,60,36,51,34,27,32,31,20,43,25,20,33,18,29,34,41,22
"134",178,103,130,52,58,65,70,83,55,46,43,45,34,50,40,28,40,38,33,42,15,29,34,29,31,12,29,32,24,21
"135",165,144,115,53,65,72,59,67,77,37,44,35,38,57,37,50,16,25,25,40,21,27,22,25,26,30,35,35,21,34
"136",186,95,143,57,89,75,63,76,65,40,40,39,38,41,47,33,25,33,36,39,22,16,38,15,33,29,39,36,30,31
"137",169,112,115,42,64,53,57,59,43,31,34,29,40,31,37,34,31,23,19,22,18,30,30,22,31,14,25,23,27,21
"138",125,130,105,55,60,62,47,84,58,38,38,26,35,44,31,30,25,21,20,31,18,26,24,24,27,20,39,24,19,24
"139",201,141,132,54,100,95,85,100,80,52,37,44,47,61,45,38,35,32,25,35,28,44,41,28,28,22,39,45,24,30
"140",223,166,198,72,112,100,83,103,92,63,49,42,70,40,56,56,43,50,33,27,31,36,46,22,39,31,54,55,39,51
"141",219,191,248,96,130,82,96,120,112,78,63,57,66,67,70,50,38,47,36,54,42,53,55,28,61,29,70,52,45,45
"142",264,150,210,72,117,123,96,117,108,89,76,56,70,47,91,72,44,67,30,53,36,57,52,51,34,24,71,61,58,56
"143",156,109,138,41,69,62,62,78,67,58,52,38,63,38,48,62,20,31,27,37,16,43,25,17,25,20,42,39,29,26
"144",103,32,50,21,45,25,16,37,32,15,25,23,28,20,10,19,13,9,7,23,5,15,18,3,13,7,10,9,15,27
"145",34,22,33,10,19,10,14,34,15,6,16,14,13,14,6,12,6,6,2,8,6,10,5,7,7,6,10,3,10,14
"146",18,10,16,4,11,3,3,9,9,2,13,6,7,5,2,8,3,0,0,2,0,4,0,2,1,1,5,2,3,4
"147",9,9,13,1,13,3,8,8,4,7,6,6,2,4,0,6,3,4,0,3,2,4,0,1,4,2,0,5,5,3
"148",18,14,16,6,2,6,10,9,6,5,1,9,2,2,4,0,1,6,0,5,1,1,3,1,3,2,2,4,4,3
"149",13,18,18,10,10,4,5,13,6,10,4,7,4,5,5,4,4,1,2,1,6,7,3,3,5,2,1,3,2,7
"150",28,42,46,30,29,15,18,19,13,11,11,28,6,13,7,6,15,7,9,8,7,14,7,6,14,6,9,7,8,6
"151",51,80,90,28,51,46,26,31,10,20,19,25,21,13,12,21,27,9,7,12,10,18,12,9,18,8,5,12,17,13
"152",107,70,100,59,76,50,43,53,24,45,34,22,20,25,23,31,22,19,22,22,16,29,13,4,19,22,14,27,22,22
"153",124,96,112,74,93,61,51,50,24,45,38,30,41,37,37,28,23,11,25,40,20,30,30,10,19,20,23,33,21,23
"154",172,90,116,54,106,61,70,60,19,56,24,27,44,45,44,38,21,17,34,38,38,34,34,21,17,24,34,37,25,36
"155",106,79,112,60,81,46,52,61,17,47,47,43,30,42,32,34,31,15,31,37,51,27,29,8,16,37,25,29,16,23
"156",118,94,119,50,56,65,48,68,27,56,24,39,42,46,39,35,28,25,25,23,34,19,27,14,16,35,25,43,35,35
"157",126,127,130,58,74,58,67,54,26,49,44,37,28,86,34,32,30,24,28,24,38,29,37,26,24,33,23,41,45,19
"158",141,103,107,69,68,69,59,85,18,45,43,38,39,70,40,45,27,20,45,30,40,41,39,16,16,20,27,52,22,25
"159",122,107,127,56,63,66,69,79,24,48,40,44,49,69,36,38,20,26,32,26,49,37,27,19,20,37,22,36,30,18
"160",122,97,119,56,66,51,68,66,21,48,59,33,32,75,45,46,32,21,25,19,27,20,31,16,31,30,31,43,36,12
"161",106,92,144,43,63,54,47,67,9,39,32,26,43,72,29,42,30,29,11,26,41,24,20,25,19,32,26,35,27,36
"162",121,101,111,44,78,62,62,66,16,49,37,50,33,64,51,33,20,27,32,26,36,35,30,27,18,21,29,34,36,16
"163",138,138,158,67,114,64,69,83,20,54,53,49,33,58,50,46,27,28,35,36,52,30,41,24,27,44,53,49,55,34
"164",159,157,193,88,151,103,89,102,27,54,51,58,39,41,60,53,35,31,50,42,60,41,43,29,46,58,55,72,45,43
"165",243,177,217,85,166,110,131,97,50,84,70,82,57,72,73,48,67,39,37,45,81,46,49,40,55,67,61,64,60,43
"166",219,179,194,95,149,91,100,128,45,81,69,89,81,65,82,65,49,46,55,56,63,63,52,46,48,74,73,92,43,51
"167",171,133,107,57,87,63,47,93,23,48,56,54,49,40,73,50,23,20,43,39,54,35,17,14,32,56,21,46,26,24
"168",85,50,49,35,31,45,27,40,17,24,23,23,30,17,27,34,10,13,19,16,19,18,6,8,3,27,16,8,17,20
"169",49,15,32,29,13,22,16,22,3,6,16,7,22,12,13,11,6,5,7,6,4,10,9,5,9,5,4,11,11,17
"170",25,10,17,11,8,14,11,18,2,4,7,10,19,7,2,8,4,4,1,5,9,4,2,3,5,1,3,4,6,4
"171",15,7,13,13,4,7,5,10,2,6,1,1,5,9,2,6,2,2,2,0,4,0,3,4,1,4,2,4,6,2
"172",22,11,6,6,5,11,4,12,1,7,3,4,4,7,3,6,4,5,1,4,4,2,1,2,7,5,1,2,3,2
"173",16,15,16,7,8,12,5,8,1,3,6,7,4,9,5,6,1,3,3,3,15,2,4,4,9,12,2,2,7,2
"174",42,89,48,28,27,14,18,24,9,10,12,14,8,16,12,15,13,4,7,9,20,3,7,9,19,16,10,15,7,18
"175",93,126,94,48,44,61,37,49,15,20,28,27,28,22,31,26,19,16,7,21,36,12,25,16,18,28,13,18,11,35
"176",139,91,103,67,50,62,44,63,14,29,36,44,36,43,39,52,26,8,18,31,43,21,27,25,21,29,27,27,18,28
"177",136,119,123,73,47,44,41,40,18,40,36,28,40,56,47,35,41,26,22,38,38,32,40,19,20,34,30,36,31,25
"178",149,98,109,80,57,67,42,58,25,44,56,56,43,49,54,45,51,17,23,29,32,18,25,21,15,32,29,35,40,32
"179",133,131,110,86,49,59,66,68,18,53,54,58,32,60,51,38,39,22,26,44,27,32,36,22,29,27,29,34,39,43
"180",143,174,114,87,57,59,64,63,22,37,34,43,32,58,39,31,58,10,24,28,19,38,34,20,31,15,30,25,22,22
"181",155,342,156,91,62,65,51,69,23,42,54,46,44,86,43,33,42,21,24,32,36,33,37,35,21,20,35,38,31,22
"182",143,332,172,88,66,61,74,69,18,56,42,57,50,67,44,42,39,12,28,36,21,31,22,20,20,26,38,45,28,21
"183",145,295,163,91,75,60,61,69,16,51,37,40,54,95,56,43,71,20,26,29,47,35,30,27,28,24,59,51,38,21
"184",159,270,167,103,87,99,64,60,26,70,54,39,51,93,73,34,57,30,44,39,29,49,32,31,31,30,68,60,39,27
"185",138,270,135,76,81,62,59,77,20,50,43,47,39,44,56,43,53,33,30,29,30,32,25,19,34,20,39,47,46,35
"186",111,285,154,81,49,60,59,79,14,57,38,37,36,103,72,24,57,29,45,35,29,35,28,31,30,35,45,60,39,15
"187",162,341,206,115,97,102,89,96,32,60,44,70,46,91,85,49,61,38,29,58,40,39,34,30,38,41,59,70,64,40
"188",230,457,219,144,120,109,88,99,51,77,72,77,66,104,108,58,96,30,54,47,51,44,67,33,48,56,60,102,89,34
"189",237,475,276,155,158,130,93,105,25,71,77,108,80,61,91,62,83,29,63,59,51,68,62,39,46,60,79,99,52,30
"190",259,426,246,147,119,133,107,110,35,84,82,95,91,78,144,78,66,39,67,68,50,62,59,44,44,59,70,111,56,33
"191",212,323,168,93,77,53,70,88,25,72,64,87,51,63,93,55,47,43,23,65,32,47,46,38,32,35,39,94,36,21
"192",109,129,76,32,42,16,38,37,9,32,31,20,35,28,55,45,30,20,27,26,17,41,20,10,15,20,21,37,21,17
"193",45,50,30,14,15,8,20,21,7,5,22,19,17,12,22,14,9,4,10,11,0,25,9,5,9,8,3,23,9,10
"194",24,33,15,4,12,1,13,11,1,7,10,11,14,7,8,16,1,8,3,8,9,6,5,2,6,8,5,11,6,5
"195",16,21,15,4,10,0,3,13,1,4,14,11,4,8,9,1,2,3,1,4,10,4,4,4,1,2,4,3,5,1
"196",19,16,12,4,3,3,9,2,0,7,4,7,2,2,1,2,6,2,13,2,1,7,5,1,2,2,3,2,3,0
"197",13,34,22,4,10,6,15,7,1,5,1,11,3,7,7,12,7,3,2,8,1,8,2,6,7,5,0,12,4,2
"198",28,75,53,11,27,11,19,17,7,12,13,19,11,15,18,9,13,14,10,8,10,18,4,7,19,10,21,20,15,4
"199",86,120,94,36,63,63,35,55,12,26,31,35,19,26,42,27,37,20,17,17,10,29,26,9,32,17,21,46,13,13
"200",151,151,118,70,81,79,46,60,14,39,35,46,36,38,71,35,56,16,41,29,20,43,28,14,26,23,17,59,32,17
"201",168,109,141,56,71,69,55,41,20,36,49,32,46,68,50,39,46,31,19,31,20,66,57,26,25,21,46,69,32,24
"202",178,126,131,66,78,60,65,42,20,46,45,54,39,54,47,44,52,20,29,36,17,48,45,27,19,22,42,82,36,41
"203",192,129,128,59,57,45,53,46,18,32,38,44,29,36,50,32,43,18,23,21,26,45,44,16,16,32,43,64,40,33
"204",135,132,114,54,43,46,58,56,20,29,32,27,21,69,67,29,32,19,19,31,24,41,25,16,22,19,36,51,40,16
"205",161,148,113,70,87,76,71,58,19,38,37,42,40,72,68,35,53,25,16,39,16,47,25,15,20,18,45,57,46,34
"206",185,162,130,62,62,81,60,65,19,49,51,37,54,52,72,30,56,26,22,34,12,49,32,18,25,30,28,68,28,30
"207",151,172,128,70,71,103,81,75,36,65,58,36,39,77,89,35,70,27,34,34,18,51,33,35,25,31,39,61,35,42
"208",184,189,138,58,75,76,69,70,23,79,54,46,40,99,80,48,64,24,31,28,14,34,34,15,25,32,51,84,30,34
"209",146,169,120,61,54,83,72,61,24,62,42,46,48,87,66,34,38,30,15,26,17,50,24,14,36,26,50,59,47,27
"210",175,173,139,63,76,82,56,69,18,59,43,52,40,83,107,33,48,21,25,30,23,47,31,25,19,32,37,48,66,22
"211",188,216,186,58,89,88,68,78,26,91,57,74,41,115,84,50,58,38,28,33,19,53,29,38,29,30,51,60,63,31
"212",225,258,223,99,99,118,89,82,34,96,49,76,71,126,134,59,77,42,37,39,22,69,51,37,26,34,72,100,60,46
"213",315,287,189,121,128,105,110,97,31,121,81,114,81,101,118,80,94,42,56,59,34,77,43,56,35,45,85,71,49,57
"214",323,249,178,98,116,141,89,92,31,76,84,66,85,105,147,63,69,35,37,62,40,52,43,45,36,67,84,103,46,50
"215",170,123,113,62,66,71,59,57,15,18,56,51,52,68,87,46,32,31,29,34,20,38,18,31,21,21,25,58,21,36
"216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
