"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"131",55,13,35,37,22,25,13,33,15,22,16,26,40,22,42,15,23,24,16,18,20,14,17,24,20,32,14,25,16,14
"132",61,26,24,44,21,29,17,18,21,19,26,27,24,19,40,13,18,17,18,19,17,17,21,28,19,24,10,23,27,15
"133",75,40,28,38,29,30,12,22,36,20,23,24,33,21,46,12,21,24,18,19,16,13,13,20,23,29,16,25,29,17
"134",66,32,30,54,24,30,18,22,33,23,25,23,31,22,38,16,28,26,19,24,24,13,18,18,19,31,21,25,22,23
"135",51,23,25,47,14,30,19,30,13,22,23,23,29,18,33,15,38,24,30,26,22,24,18,14,10,19,15,27,27,22
"136",68,31,30,27,26,27,14,35,21,22,28,35,30,17,42,8,19,33,22,18,16,22,13,16,11,21,19,17,19,23
"137",53,31,33,41,32,37,23,18,33,34,17,18,23,26,34,6,30,19,18,15,16,27,16,23,10,24,17,27,10,22
"138",61,17,23,32,28,24,18,36,29,21,20,30,20,34,42,12,29,18,22,23,27,30,17,15,13,23,14,16,14,14
"139",55,53,36,45,36,30,22,38,30,32,27,33,25,28,44,20,27,27,24,31,22,26,18,24,23,24,16,32,22,17
"140",83,63,34,72,43,43,37,32,39,58,35,40,45,31,56,13,51,37,43,26,23,48,17,38,10,20,13,33,19,22
"141",94,63,65,60,52,40,36,45,41,34,37,44,35,40,53,16,52,38,39,39,27,55,21,27,23,18,24,44,28,25
"142",80,65,53,72,24,45,38,39,32,56,44,32,36,33,82,28,66,38,34,30,21,45,22,26,24,39,35,43,31,24
"143",50,43,41,40,24,39,26,38,37,27,34,36,34,31,40,15,27,25,21,24,25,25,17,19,22,27,12,35,23,23
"144",50,27,30,20,17,10,14,18,15,6,21,27,17,13,15,8,20,9,30,14,11,19,18,8,11,17,9,14,5,19
"145",27,5,14,10,4,13,4,8,9,1,13,8,7,7,10,2,5,2,24,11,2,12,4,5,10,4,2,1,2,1
"146",5,4,6,0,2,6,3,3,5,4,4,5,1,3,5,1,4,5,10,3,0,3,0,4,2,0,1,5,3,1
"147",6,2,4,1,8,3,3,1,3,3,1,1,2,2,4,2,3,1,3,2,1,1,1,3,1,4,0,1,0,0
"148",4,1,4,5,2,4,4,5,5,3,1,2,1,2,7,1,0,1,6,1,4,3,1,7,5,1,4,2,0,0
"149",6,5,4,2,7,5,8,5,7,4,4,7,3,3,0,2,6,2,1,6,3,9,2,1,3,3,0,2,4,1
"150",28,12,7,7,12,9,12,7,7,13,11,13,3,7,5,3,7,3,9,8,7,12,6,11,7,2,3,7,0,7
"151",32,23,12,15,24,15,17,4,20,18,7,26,11,8,15,10,16,12,25,13,4,26,14,14,9,10,9,10,5,4
"152",48,40,33,27,32,22,22,12,19,28,15,21,23,12,14,11,24,17,16,12,14,20,18,17,18,14,15,7,10,9
"153",62,50,24,22,39,27,24,27,20,25,37,32,34,23,16,11,26,22,30,17,13,19,17,14,29,26,12,14,25,14
"154",64,40,34,36,48,26,33,23,37,42,46,40,33,25,26,20,38,30,38,29,27,21,30,19,19,19,17,20,23,11
"155",66,30,34,23,43,21,31,16,18,37,37,37,23,23,26,23,34,25,20,26,26,21,16,22,7,16,15,24,17,14
"156",50,43,23,44,56,28,26,26,31,52,30,45,29,19,28,15,46,33,42,38,21,14,27,15,22,27,16,25,13,18
"157",46,54,25,32,56,23,31,24,40,30,38,42,36,23,32,23,43,23,21,30,16,15,25,17,23,24,14,22,11,20
"158",57,42,51,26,49,34,40,31,24,31,43,36,32,32,20,11,33,35,37,35,27,21,17,27,26,18,21,37,12,18
"159",46,50,28,37,32,23,26,46,37,56,23,30,42,26,20,19,36,36,16,29,44,17,15,21,13,15,15,13,16,20
"160",39,62,48,25,34,29,37,40,30,36,33,39,37,26,27,18,32,34,29,47,23,20,28,19,16,24,12,21,14,11
"161",51,49,28,38,46,23,27,30,45,39,34,28,26,16,14,8,32,23,27,46,28,15,14,15,27,23,16,14,12,20
"162",38,55,27,21,51,35,56,35,26,37,17,34,27,19,18,16,32,20,23,41,27,7,17,28,23,24,10,24,12,18
"163",70,73,27,45,52,27,44,29,43,43,27,38,27,41,19,19,42,29,36,54,33,23,12,30,27,27,14,16,22,18
