"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"130",49,95,70,54,38,42,54,25,28,36,26,37,27,33,26,27,30,19,21,39,34,7,32,12,26,16,13,27,34,9
"131",56,56,62,32,50,35,38,28,43,24,33,35,31,27,46,34,33,32,19,26,29,8,27,27,32,19,15,18,21,4
"132",63,72,78,45,41,50,44,30,38,30,14,34,37,35,40,34,18,26,27,12,21,13,37,28,16,28,21,11,22,17
"133",52,64,91,46,44,48,54,36,44,27,35,29,46,26,39,27,22,36,50,30,28,12,30,31,23,33,27,19,31,12
"134",39,77,92,52,45,36,41,35,44,28,23,39,28,27,31,21,28,40,27,30,23,14,34,20,25,20,26,18,25,13
"135",32,94,56,55,33,30,43,33,43,36,33,31,22,36,40,20,35,33,28,35,33,13,26,29,22,16,24,16,27,8
"136",49,69,90,49,32,35,34,31,43,46,30,34,26,27,38,24,27,30,26,26,30,12,23,23,22,20,24,15,28,15
"137",48,76,59,48,34,52,27,35,28,31,27,27,26,27,32,17,29,18,28,32,17,7,34,18,17,22,25,14,22,6
"138",60,58,53,63,26,33,52,22,27,24,26,30,17,23,29,35,34,27,25,26,19,10,22,22,19,21,23,14,19,9
"139",59,77,94,50,50,46,55,43,43,42,39,28,34,31,43,35,31,31,28,26,31,9,40,43,27,26,29,29,40,9
"140",44,94,106,71,47,44,40,31,52,29,45,33,43,42,41,57,31,34,34,38,26,22,30,34,28,20,36,22,45,13
"141",98,116,99,95,66,36,65,36,63,70,67,53,44,67,46,55,44,46,43,38,29,19,53,39,40,31,43,19,48,14
"142",80,102,108,75,89,38,74,57,84,86,55,50,53,54,75,59,56,38,34,47,35,15,45,48,37,46,40,38,38,16
"143",78,91,88,85,50,27,40,51,52,39,30,26,46,28,48,27,38,33,42,39,25,11,43,33,34,34,21,20,30,9
"144",27,36,37,42,19,32,23,22,37,19,26,18,25,23,24,16,25,21,22,15,22,6,15,19,18,12,8,22,15,5
"145",13,12,13,13,10,13,9,11,10,8,8,8,12,6,9,14,6,6,9,3,8,1,2,8,5,13,0,1,7,3
"146",7,12,12,7,7,10,6,1,14,7,1,1,6,5,4,8,11,6,5,2,4,0,1,4,2,4,2,3,3,2
"147",10,7,9,7,12,2,4,5,4,1,1,1,2,5,5,2,5,2,2,4,4,0,3,1,6,6,2,1,1,0
"148",10,3,4,4,2,8,1,2,2,1,0,2,2,3,1,5,0,1,1,1,2,0,2,2,0,2,4,1,6,0
"149",3,9,7,3,2,5,1,5,9,3,5,8,1,3,1,1,3,4,2,4,2,2,1,3,3,6,1,1,4,0
"150",10,20,21,13,19,9,7,5,9,4,7,9,3,13,9,14,5,4,4,2,7,2,5,3,5,5,7,8,9,4
"151",14,36,45,16,20,20,18,12,17,20,18,15,14,12,15,22,14,16,17,8,7,6,19,8,14,7,10,4,15,2
